Biomarker,Document IDs,Activity Context Summary,Effect Summary,Clinical Implications Summary,Relevance for Sports (1-10),Occurrences in Dataset,Training Relation,Risk Indicator,Monitoring Relevance,Other
Lymphocyte,41010901,The activity context is related to post-SARS-CoV-2 infection in vaccinated female survivors.,There was a modest but significant temporary increase in lymphocytes observed in females at T2.,"This indicates that females may demonstrate adverse risk for persistent inflammatory changes, including a temporary lymphocyte surge, reflecting transient adaptive immunity differences in women following post-SARS-CoV-2 infection.",9,1,,,,
D-dimer,41010901,Post-SARS-CoV-2 infection in vaccinated survivors.,"D-dimer levels were found to be elevated and remained stable overall. Notably, there was a significant sex-specific difference at the 30-month (T3) endpoint, with significantly higher levels observed in females compared to males (p=0.024).","Females exhibit an adverse risk for persistent inflammatory changes and potential for delayed coagulative resolution. This suggests a need for sex-tailored long-term monitoring strategies, prioritizing prolonged inflammatory surveillance in women.",3,1,,,,
WBC counts,41010901,Post-COVID-19 hematological parameters.,"WBC counts remained stable in the overall cohort (p=0.422) but showed consistently higher values in males, particularly at T1 (p=0.001).","Long-term monitoring strategies for hematological parameters, including WBC counts, should be sex-tailored to effectively evaluate and manage recovery patterns.",7,1,,,,
Triglycerides,41010901,post-COVID-19 lipid metabolism,"Triglyceride levels fluctuated slightly; males initially demonstrated higher levels which gradually declined, while females showed a sustained increase by T3.",Sex-tailored long-term monitoring strategies should prioritize metabolic screening based on sex-specific physiological recovery patterns. A specific link between glucose metabolism and triglycerides was also identified.,7,1,,,,
Irisin,31976024,"The research investigated Irisin levels in the context of Hepatocellular Carcinoma (HCC). This included comparisons between HCC tissues and non-cancer tissues, HCC patients and healthy controls, and the utility in distinguishing between these groups. It also explored Irisin's role in predicting postoperative complications (CCI scores) and hospital stay duration after hepatectomy in HCC patients, as well as its association with various clinical factors in HCC.","Irisin levels were significantly downregulated in HCC tissues and decreased in HCC patients compared to healthy controls (P < 0.001). It demonstrated good diagnostic utility for HCC with an AUC of 0.8364. Low preoperative Irisin levels (<2.62 µg/ml) were significantly correlated with higher postoperative complication index (CCI scores) and longer hospital stays (P < 0.05). Irisin levels were also associated with male sex, history of viral hepatitis, and high AFP levels in HCC patients (P < 0.05).","Serum Irisin serves as a novel diagnostic biomarker for Hepatocellular Carcinoma (HCC) due to its significant downregulation in HCC patients and tissues, showing good discriminative performance. Moreover, low preoperative serum Irisin levels are predictive of adverse surgical outcomes after hepatectomy in HCC patients, including higher postoperative complication index (CCI scores) and longer hospital stays. Low serum Irisin also associates with specific clinical risk factors in HCC such as male gender, viral hepatitis history, and high AFP, highlighting its diagnostic and predictive utility in this context.",1,6,,,,
Polygenic Risk Score (PRS),35027648,"Polygenic Risk Score (PRS) is consistently evaluated in the context of Epithelial Ovarian Cancer (EOC) risk. This includes non-mucinous EOC risk across different ancestral populations (European, East Asian, African ancestries), as well as EOC risk in carriers of BRCA1 and BRCA2 pathogenic variants. It is also assessed for overall EOC risk prediction in the general population, including cumulative and absolute risk by age 80, and compared against previously published PRS models.","The Polygenic Risk Score (PRS) consistently demonstrates an increased association with Epithelial Ovarian Cancer (EOC) risk. This is quantified by increased Odds Ratios (ranging from 1.14 to 1.38 per unit standard deviation), Hazard Ratios (1.36-1.49 for BRCA carriers), and 1.60-to 2.23-fold increased odds/risk for individuals in the higher percentiles (e.g., top 5% or 95%). Predictive utility, measured by AUC, generally shows improvements, ranging from 0.538 to 0.624, often being higher or comparable to previous estimates. PRS also identifies a substantially increased absolute risk of EOC by age 80, both in the general population and significantly in BRCA1/BRCA2 carriers, with the highest centiles showing several times the risk of the lowest centiles. The association is noted to be stronger than previously published PRSs and comparable to the risk conferred by pathogenic variants in other genes like FANCM and PALB2.","Polygenic Risk Scores (PRSs) offer significant diagnostic and predictive utility for stratifying Epithelial Ovarian Cancer (EOC) risk. They are valuable in identifying individuals, including those in the general population and carriers of BRCA1/BRCA2 pathogenic variants, who are at a substantially increased or adverse absolute risk of EOC. A higher PRS consistently indicates a higher EOC risk. This enhanced risk prediction can significantly improve prevention strategies. It is also noted that the discriminatory power of PRS models can vary significantly by ancestral population, often showing weaker effects in non-European groups, and that optimal models may differ across ancestries. The magnitude of risk identified by PRS is comparable to that conferred by pathogenic variants in other known cancer genes, underscoring its clinical importance.",1,19,,,,
Gastrointestinal permeability,35897037,"Probiotic supplementation (Lactobacillus, Bifidobacterium, Streptococcus) administered for 4 weeks to male non-elite runners.",Observed a small to moderate improvement in gastrointestinal permeability.,"Probiotic supplementation can enhance gastrointestinal functions, reduce symptoms, and provide a protective benefit for gut health, which supports athletes' ability to sustain high-intensity training.",9,1,,,,
Inflammatory markers,35897037,"Probiotic supplementation (Lactobacillus, Bifidobacterium, Streptococcus) for 4 weeks in male non-elite runners was investigated.",No influence on inflammatory markers was observed.,"Probiotic intervention in this specific context did not yield direct benefits for inflammatory markers, suggesting a low health risk or no discernible effect on these markers.",9,1,,,,
T-cell production of INF-G,35897037,A 4-week Lactobacillus probiotic intervention was conducted in fatigued athletes.,T-cell production of INF-G was restored to levels seen in healthy athletes.,"Probiotic supplementation can enhance immune function by specifically restoring T-cell production, leading to improved immune activity and a reduced risk of respiratory infection, thereby offering a protective benefit for athletes.",9,1,,,,
Salivary secretory immunoglobulin A (sIgA),35897037,A 14-week Lactobacillus probiotic intervention in elite athletes.,Salivary sIgA concentrations were maintained.,"Probiotic supplementation, by maintaining sIgA levels, helps support immune health in athletes, reducing the risk of respiratory symptoms and infections, thereby enhancing their ability to train consistently. This indicates a protective benefit for immune activity.",9,1,,,,
Total number of upper respiratory infection days,35897037,A 14-week Lactobacillus probiotic intervention conducted in elite athletes.,Reduced.,"Probiotic supplementation has been shown to reduce the total number of upper respiratory infection days, which can lead to a decrease in the intensity of respiratory symptoms and the overall risk of respiratory infection. This offers a protective benefit against cold and flu symptoms in athletes.",9,1,,,,
Endurance Performance (Time-to-exhaustion),35897037,"Studies involved probiotic interventions (Lactobacillus or multi-strain formulations including Lactobacillus, Bifidobacterium, Streptococcus) ranging from 4 to 14 weeks. Participants included non-elite athletes during treadmill or running protocols, and elite athletes.","Non-elite athletes showed improved endurance performance, with one study noting a dose-dependent improvement. In contrast, elite athletes showed no improvement in endurance performance.","Probiotic supplementation can enhance athletic performance and endurance in non-elite athletes, enabling them to train at higher intensities. However, for elite athletes who already train intensively, probiotics may have limited ergogenic effects on endurance, suggesting that time-to-exhaustion might be a low-sensitivity biomarker for performance enhancement in this specific population regarding probiotic interventions.",9,3,,,,
Lean Body Mass,30848096,A 12-week study examining the effects of daily milk protein supplementation and walking exercise in physically active older adults with low habitual protein intake.,Daily milk protein supplementation resulted in a significantly larger relative increase in whole-body lean body mass (0.93% vs 0.44% in placebo) and a significant increase in truncal lean body mass compared to a placebo group.,"Protein supplementation is effective in improving body composition by increasing lean body mass, thereby aiding in delaying age-related muscle loss (sarcopenia), enhancing long-term mobility and physical resilience, and providing a protective benefit for muscle mass maintenance.",10,1,,,,
Fat Mass,30848096,A 12-week intervention involving daily milk protein supplementation administered to physically active older adults who had low habitual protein intake.,"Daily milk protein supplementation resulted in a significant decrease in fat mass, both in absolute terms (-0.90 kg vs. -0.31 kg in placebo group) and relative percentage (-0.92% vs. -0.39% in placebo group). The fat mass/lean body mass ratio was also significantly reduced in the protein group.","Protein supplementation effectively improves body composition by decreasing fat mass. This reduction in fat mass is linked to lower risks for cardiovascular diseases and metabolic syndrome, providing a protective health benefit.",9,1,,,,
Physical Performance Markers,30848096,"The study investigated the effects of walking exercise training, with or without protein supplementation, in physically active older adults.","Walking exercise training significantly improved gait speed, chair-rise ability, Timed Up-and-Go (TUG), and estimated VO2max. However, protein supplementation did not provide additional benefits for these physical performance markers.","Walking exercise training effectively enhances physical performance in older adults. For already highly active older individuals, protein supplementation may not offer further improvements in these performance measures, possibly due to a ceiling effect.",8,1,,,,
Renal Function Markers,30848096,12 weeks of daily milk protein supplementation in physically active older adults.,"Creatinine concentrations increased and eGFR decreased in both groups over time, but no significant between-group differences were observed for eGFR or urinary albumin/creatinine ratio, indicating no adverse effect on renal function due to protein supplementation.",Protein supplementation is a safe strategy and does not pose an adverse risk to renal function in older adults with moderate baseline kidney health.,6,1,,,,
25-hydroxyvitamin D,30848096,12 weeks of daily milk protein supplementation or placebo in physically active older adults.,"25-hydroxyvitamin D levels increased significantly in both protein supplementation and placebo groups over a 12-week period, with no significant differences between groups.","Vitamin D status can improve over time in active older adults, and this improvement may be independent of milk protein supplementation, suggesting other factors contribute to the observed increase during the study period.",9,1,,,,
Body Weight,30848096,12 weeks of daily milk protein supplementation in physically active older adults.,Body weight decreased borderline significantly more in the protein supplementation group compared with the placebo group.,"Protein supplementation can contribute to a reduction in total body weight, which, when combined with positive changes in lean body mass and fat mass, supports overall health and physical resilience. This suggests a protective benefit for body composition.",9,1,,,,
Extracellular Vesicles (EVs),31936142,"The research focuses exclusively on Extracellular Vesicles (EVs) in the context of breast cancer. This includes general breast cancer diagnosis, specific subtypes such as Her2 amplified (Her2+) and triple negative breast cancer (TNBC), and the monitoring of tumor burden in both human patients and murine models.","Across various contexts, findings consistently indicate an increase in Extracellular Vesicles (EVs) in breast cancer patients compared to healthy controls, encompassing both total and small EV particle counts. This increase is observed in general breast cancer cases as well as specific subtypes like Her2+ and TNBC. While Her2+ patients showed a non-significantly higher EV level compared to TNBC patients, a moderate positive correlation was also found between circulating EVs and tumor burden in murine breast cancer models, suggesting their dynamic relationship with disease progression.","Extracellular Vesicles (EVs) demonstrate significant potential as novel diagnostic tools for breast cancer, including its specific subtypes like Her2+ and TNBC. They also show promise as prognostic markers for monitoring tumor burden and the progression of the disease, particularly metastatic progression. While the overall increase is clear, distinguishing between certain subtypes based solely on EV numbers may require more nuanced approaches.",1,7,,,,
miR-451a,31936142,miR-451a levels have been studied in BC patient sera and are associated with breast cancer.,"A significant increase in miR-451a was detected in breast cancer, with significantly greater copies per EV (15.8-38.60 copies/EV) compared to healthy individuals (5.5-11.63 copies/EV).","EV-encapsulated miR-451a, specifically the significantly greater copies per EV, shows strong potential as a novel diagnostic biomarker for breast cancer.",1,3,,,,
miRNA-101,31936142,miRNA-101 was analyzed in serum-derived extracellular vesicles (EVs) from breast cancer patients.,miRNA-101 levels were found to be elevated in serum EVs of 50 breast cancer patients compared to 12 healthy controls.,Elevated miRNA-101 in serum EVs suggests its potential as a diagnostic biomarker for breast cancer.,1,1,,,,
miRNA-372,31936142,serum-derived EVs of breast cancer patients,elevation: elevated in n=50 breast cancer patients vs n=12 healthy controls,Elevated miRNA-372 in serum EVs suggests its potential as a diagnostic biomarker for breast cancer. Diagnostic utility.,1,1,,,,
miR-105,31936142,metastatic progression in breast cancer patients,miR-105 was significantly elevated in patients (n=16) who developed distant metastases compared to those (n=22) who did not.,Elevated EV-miR-105 suggests its utility as a prognostic marker for metastatic progression in breast cancer.,1,1,,,,
miR-21,31936142,The biomarker was observed in the plasma of breast cancer patients.,miR-21 levels were significantly elevated in the plasma of breast cancer patients compared to healthy controls.,Significantly elevated EV-miR-21 is suggested as a useful diagnostic biomarker for breast cancer.,1,1,,,,
miR-1246,31936142,miR-1246 was analyzed in the plasma of breast cancer patients.,miR-1246 was significantly elevated in breast cancer patients (n=16) compared to healthy controls (n=16).,"Significantly elevated miR-1246 indicates its potential as a diagnostic biomarker for breast cancer, demonstrating high sensitivity and specificity.",1,1,,,,
