Biomarker;Document IDs;Activity Context Summary;Effect Summary;Sport Implications;Relevance for Sports (1–10);Occurrences in Dataset;Training Relation;Risk Indicator;Monitoring Relevance;Other
Lymphocyte;41010901;The activity context is focused on the post-SARS-CoV-2 infection state in vaccinated female survivors, representing a period of recovery from illness.;A modest but significant temporary increase in lymphocyte count was observed in females at a specific post-infection time point (T2).;In an athletic population, particularly females, a temporary post-viral infection lymphocyte surge indicates ongoing immune activation and potential inflammatory processes. From a sports-science perspective, this suggests that the athlete's immune system is still engaged in recovery from illness, impacting their physiological readiness for intense training or competition. It implies a diminished capacity for training adaptation, an increased risk of under-recovery or overtraining if training loads are not appropriately managed, and potential decrements in performance. This finding highlights the importance of monitoring immune markers like lymphocytes for guiding individualized return-to-play protocols post-illness, ensuring complete immune system restoration before resuming full training intensities to optimize health and performance.;6;1;;;;
D-dimer;41010901;Monitoring of vaccinated survivors post-SARS-CoV-2 infection, specifically focusing on long-term outcomes (up to 30 months).;D-dimer levels remained stable overall post-SARS-CoV-2 infection, but were significantly higher in females compared to males at the 30-month endpoint, with males showing lower values at this time.;In the context of post-SARS-CoV-2 recovery, persistently elevated D-dimer, particularly observed in female athletes, signals ongoing systemic inflammatory and coagulative processes. This can significantly prolong an athlete's recovery timeline, impair their physiological adaptation to training, increase fatigue, and potentially elevate the risk of cardiovascular complications during intense physical activity. Monitoring D-dimer could inform more cautious and individualized return-to-play strategies, guide appropriate training load adjustments, and identify athletes, especially females, who may require extended recovery periods or specialized medical evaluation to prevent overtraining or exacerbation of underlying issues. It serves as an indirect marker of systemic stress impacting an athlete's readiness for high-level training and competition.;7;1;;;;
WBC counts;41010901;This study investigated post-COVID-19 hematological parameters, focusing on the recovery phase after an infectious illness.;WBC counts remained stable in the overall cohort during the post-COVID-19 period. However, males consistently exhibited higher WBC values compared to females, particularly at the initial assessment point (T1).;While WBC counts can serve as a general indicator of immune system activity and inflammation relevant to an athlete's recovery from illness or acute stress, this finding suggests that post-illness, WBC might stabilize without significant fluctuations in the absence of new complications. The observed sex differences highlight the critical need for individualized interpretation of WBC data. For athletes, this means establishing sex-specific baseline ranges and considering these differences when monitoring immune recovery from infections or periods of high training stress. Abnormal WBC patterns (e.g., persistent elevation indicating chronic inflammation, or suppression indicating immune compromise/overtraining) would warrant further investigation to ensure optimal recovery and adaptation to training.;6;1;;;;
Triglycerides;41010901;Monitoring lipid metabolism in individuals post-COVID-19, relevant for understanding metabolic recovery in athletes returning to sport.;Triglyceride levels fluctuated post-COVID-19 with sex-specific patterns: males initially had higher levels that gradually declined, while females showed a sustained increase by a later time point (T3).;Triglycerides can serve as an indicator of metabolic recovery and adaptation, particularly in athletes returning to training post-illness (e.g., post-COVID-19). The observed sex-specific differences in triglyceride trends (males declining, females sustained increase) underscore the importance of sex-tailored long-term monitoring strategies. Sustained elevated triglycerides, especially in females, may indicate impaired metabolic flexibility or prolonged recovery, potentially impacting an athlete's ability to efficiently utilize fat for fuel during endurance activities and increasing susceptibility to underrecovery or maladaptation to training loads. Monitoring these levels, especially alongside glucose metabolism, can help guide personalized training load adjustments, nutritional strategies, and recovery protocols to optimize metabolic health and ensure a safe and effective return to peak performance, mitigating risks of overtraining.;7;1;;;;
Irisin;31976024;The activity contexts exclusively involve clinical populations, specifically comparing Hepatocellular Carcinoma (HCC) tissues with non-cancer tissues, and HCC patients with healthy controls. The studies also examine the utility of irisin in distinguishing HCC patients, predicting postoperative complications and hospital stay duration after hepatectomy in HCC patients, and its association with clinical risk factors in this patient group.;Irisin is consistently downregulated in HCC tissues and significantly decreased in the serum of HCC patients compared to healthy controls. It demonstrates good diagnostic utility for HCC. Furthermore, low preoperative serum irisin levels are associated with higher postoperative complication indices, longer hospital stays after hepatectomy in HCC patients, and correlate with specific clinical risk factors for HCC (male sex, history of viral hepatitis, high AFP levels).;Based strictly on the provided data, the findings on irisin are entirely focused on its role as a diagnostic and prognostic biomarker for Hepatocellular Carcinoma (HCC) and its predictive value for surgical outcomes in these patients. There is no information presented regarding irisin's modulation by exercise, its relevance to training load monitoring, recovery processes, adaptation, metabolic flexibility, inflammation in athletic populations, muscle damage and repair from exercise, or its utility in performance diagnostics or cardiovascular/endocrine adaptations to training. Therefore, this specific dataset offers no direct sport-specific implications for athletes or training management.;1;6;;;;
Polygenic Risk Score (PRS);35027648;The activity contexts exclusively involve risk assessment for non-mucinous Epithelial Ovarian Cancer (EOC) in women of various ancestries (European, East Asian, African) and in individuals carrying pathogenic variants of BRCA1 or BRCA2 genes. There is no information regarding athlete populations, specific exercise interventions, or training states.;A higher Polygenic Risk Score (PRS) consistently correlates with an increased risk of developing Epithelial Ovarian Cancer (EOC). This includes increased odds ratios (ORs ranging from 1.14 to 1.49), hazard ratios (HRs ranging from 1.36 to 1.49), and a substantially increased absolute cumulative risk by age 80 in both the general population and BRCA1/BRCA2 carriers. The predictive utility (AUC) also improves with higher PRS, indicating stronger association and risk prediction. The effect magnitude varies by ancestry, with generally stronger effects observed in women of European ancestries compared to East Asian and African ancestries for general EOC risk, although risk stratification is improved across all groups.;Based on the provided data, this specific Polygenic Risk Score (PRS) is solely focused on assessing the risk of Epithelial Ovarian Cancer (EOC). There is no direct or indirect information linking this biomarker to exercise physiology, training load monitoring, recovery and adaptation processes, overtraining/underrecovery states, metabolic flexibility, inflammation specific to athletes, performance diagnostics, muscle damage and repair, or cardiovascular and endocrine adaptation in response to exercise. Therefore, this biomarker, in the context presented, does not inform training decisions, nor is it useful for monitoring adaptation, stress, performance, or recovery in an athletic population.;1;19;;;;
Gastrointestinal permeability;35897037;Male non-elite runners undergoing a 4-week intervention with probiotic supplementation (Lactobacillus, Bifidobacterium, Streptococcus).;Small to moderate improvement (reduction) in gastrointestinal permeability.;Gastrointestinal permeability serves as a marker of gut integrity, which is crucial for athletes. High training loads and intense exercise are known to increase GI permeability, potentially leading to gastrointestinal distress, compromised nutrient absorption, and systemic inflammation (often referred to as 'leaky gut'). Improving GI permeability, as demonstrated by probiotic supplementation, can lead to enhanced gastrointestinal functions, reduced GI symptoms, and better tolerance of high-intensity training. This indirectly supports improved recovery by minimizing gut-related disruptions, optimizes metabolic flexibility by ensuring efficient nutrient absorption, and reduces systemic inflammation linked to compromised gut barrier function. Monitoring this biomarker, or the effectiveness of interventions targeting it, can inform training load management, nutritional strategies, and recovery protocols to sustain high performance and prevent overtraining or underrecovery due to gut dysfunction. It highlights the importance of gut health for an athlete's overall adaptive capacity and performance potential.;8;1;;;;
Inflammatory markers;35897037;Male non-elite runners underwent 4 weeks of probiotic supplementation (Lactobacillus, Bifidobacterium, Streptococcus).;Probiotic supplementation had no influence on inflammatory markers.;This finding indicates that a 4-week probiotic intervention of Lactobacillus, Bifidobacterium, and Streptococcus did not alter inflammatory markers in male non-elite runners. Consequently, this specific intervention did not provide a direct anti-inflammatory benefit observable via these markers, nor does it offer a mechanism for monitoring training adaptation or recovery through changes in inflammatory markers. It suggests that this particular probiotic regimen may not be an effective strategy to modulate inflammatory responses related to training in this population, thus not directly informing training modifications based on inflammatory marker changes for this specific intervention.;6;1;;;;
T-cell production of INF-G;35897037;A 4-week Lactobacillus probiotic intervention was conducted in athletes experiencing fatigue.;T-cell production of INF-G was restored to levels observed in healthy athletes.;T-cell production of INF-G serves as a valuable indicator of an athlete's immune status and resilience, particularly in response to training stress and recovery interventions. Reduced levels in fatigued athletes suggest immune suppression, potentially due to heavy training loads or underrecovery, increasing susceptibility to infections and hindering consistent training. Monitoring its restoration, possibly through strategies like probiotic supplementation, signifies improved immune function and recovery, reducing illness risk and supporting better adaptation to training demands. It can help diagnose immune fatigue and guide interventions aimed at optimizing immune health for sustained performance.;8;1;;;;
Salivary secretory immunoglobulin A (sIgA);35897037;The biomarker was studied in elite athletes undergoing a 14-week Lactobacillus probiotic intervention.;Concentrations of salivary sIgA were maintained.;Salivary sIgA is a crucial marker of mucosal immune function, directly informing an athlete's immune health and susceptibility to upper respiratory tract infections (URTIs). Maintaining sIgA levels, potentially through interventions like probiotic supplementation, indicates a robust immune system capable of warding off infections. This directly enhances an athlete's ability to sustain training loads, optimize recovery, and avoid disruptions to training and competition due to illness. A decline in sIgA often signifies immune suppression linked to excessive training stress, inadequate recovery, or nutritional deficiencies, serving as an early warning for potential overtraining or underrecovery states. Monitoring sIgA can therefore guide adjustments in training intensity, volume, or recovery strategies to safeguard immune integrity and ensure consistent adaptation and performance.;8;1;;;;
Total number of upper respiratory infection days;35897037;Research involving a 14-week Lactobacillus probiotic intervention in elite athletes.;Reduced total number of upper respiratory infection days.;The total number of upper respiratory infection days is a crucial practical indicator of an athlete's immune resilience and overall physiological stress balance. A reduced number of URI days directly translates to more consistent training, fewer missed sessions, and enhanced performance progression. Conversely, an increased frequency suggests compromised immune function, potentially due to excessive training load, insufficient recovery, or inadequate nutritional support. Monitoring this biomarker helps inform training load adjustments, highlights potential overreaching or under-recovery, and is vital for maintaining athlete health and performance continuity, as illness directly impairs training and competition capacity by interrupting training cycles and reducing an athlete's ability to adapt and perform.;8;1;;;;
Endurance Performance (Time-to-exhaustion);35897037;The findings report on studies investigating the effect of probiotic supplementation on endurance performance (time-to-exhaustion). Interventions included Lactobacillus (30 billion CFU, 90 billion CFU, or 14-week intervention) and a mixed probiotic formulation (Lactobacillus, Bifidobacterium, Streptococcus) given for 4-6 weeks. These interventions were tested in both non-elite athletes (undergoing treadmill or running protocols) and elite athletes.;Probiotic supplementation led to a dose-dependent improvement in time-to-exhaustion in non-elite athletes. Conversely, no improvement was observed in elite athletes.;Time-to-exhaustion (TTE) is a direct, fundamental biomarker for assessing an athlete's endurance capacity and physiological adaptation to training. For non-elite athletes, TTE can serve as a valuable performance diagnostic and monitoring tool, as interventions like probiotic supplementation demonstrate an ability to improve it, suggesting enhanced training capacity and improved recovery. This indicates TTE is a sensitive marker for tracking performance gains and the efficacy of ergogenic aids in less trained individuals. However, in elite athletes, TTE appears to be a less sensitive biomarker for detecting performance improvements from certain supplements, likely due to their already optimized physiological state and high training adaptations. Monitoring TTE is critical for evaluating the effectiveness of training programs, identifying signs of overtraining (through sustained drops in performance), confirming adequate recovery (through stable or improved performance), and individualizing training loads based on functional capacity.;9;3;;;;
Lean Body Mass;30848096;Physically active older adults with low habitual protein intake underwent a 12-week intervention involving daily milk protein supplementation and walking exercise.;Daily milk protein supplementation combined with walking exercise significantly increased whole-body and truncal lean body mass in physically active older adults compared to a placebo group.;Lean Body Mass (LBM) is a fundamental biomarker for assessing an athlete's physiological adaptation and training status. It serves as a direct indicator of muscle mass, which is critical for strength, power, and metabolic function across most sports. Monitoring LBM is essential for performance diagnostics, as increases generally correlate with enhanced strength and power capabilities, indicating successful adaptation to resistance training and effective nutritional strategies (e.g., adequate protein intake). From a recovery and overtraining perspective, unintended or significant reductions in LBM can signal chronic catabolic stress, under-recovery, overreaching, or insufficient energy/protein intake relative to training load. Such declines can compromise performance, increase injury risk, and indicate a hindered adaptive response. Therefore, tracking LBM helps inform training adjustments, nutritional interventions, and provides insights into an athlete's overall anabolic-catabolic balance and long-term adaptation.;9;1;;;;
Fat Mass;30848096;The study involved physically active older adults with low habitual protein intake who participated in a 12-week intervention involving daily milk protein supplementation.;Daily milk protein supplementation in physically active older adults resulted in a significant decrease in both absolute (-0.90 kg) and relative (-0.92%) fat mass, as well as the fat mass/lean body mass ratio, compared to a placebo group.;Fat mass is a critical component of body composition directly impacting athletic performance across many disciplines, particularly those sensitive to power-to-weight ratio, endurance, or specific weight classes. This finding suggests that optimizing protein intake, potentially through supplementation, can be an effective strategy to reduce fat mass and improve body composition in active populations. Monitoring fat mass serves as an important diagnostic tool for assessing long-term adaptation to training and nutritional interventions. Favorable reductions in fat mass indicate successful physiological adaptation and contribute to enhanced performance potential by improving metabolic flexibility and reducing inflammation load. While not an acute marker for training stress or immediate recovery, undesirable changes or lack of desired reduction in fat mass over time can signal inadequate nutritional support or maladaptation, impacting overall training capacity and performance goals.;8;1;;;;
Physical Performance Markers;30848096;Physically active older adults undergoing walking exercise training, with or without protein supplementation.;Significant improvements in physical performance markers (Gait speed, chair-rise ability, Timed Up-and-Go, and estimated VO2max) due to walking exercise training, with no additional benefit observed from protein supplementation in this population.;Physical performance markers are fundamental for assessing the efficacy of training programs and tracking adaptation. Significant improvements in measures like functional mobility, speed, and estimated VO2max directly demonstrate positive adaptation to training loads, indicating enhanced functional capacity and cardiovascular fitness. These markers serve as critical tools for performance diagnostics, allowing coaches and athletes to directly gauge training effectiveness and monitor progress. A lack of improvement or decline in these markers would signal a need to re-evaluate training loads, recovery strategies, or potential issues like overreaching/underrecovery, making them vital for informed training adjustments.;10;1;;;;
25-hydroxyvitamin D;30848096;Physically active older adults participating in a 12-week intervention comparing daily milk protein supplementation to a placebo.;25-hydroxyvitamin D levels significantly increased over the 12-week study period in both milk protein supplementation and placebo groups, with no significant differences between groups.;This finding, observed in active older adults, highlights that 25-hydroxyvitamin D status can improve over time in physically active individuals, potentially due to factors like increased sun exposure associated with activity. From a sports-science perspective, maintaining optimal 25-hydroxyvitamin D levels is crucial for athletes across all ages. Adequate vitamin D supports critical physiological processes foundational for performance, including bone mineral density (reducing stress fracture risk), skeletal muscle function (strength, power, recovery), immune system modulation (reducing illness and missed training), and anti-inflammatory processes. While not a dynamic marker for acute training load or immediate recovery, its sufficiency is a key component of an athlete's overall health and readiness for adaptation, chronic training stress, and sustained performance. Monitoring 25-hydroxyvitamin D is therefore valuable for ensuring foundational physiological support rather than monitoring acute changes.;7;1;;;;
Extracellular Vesicles (EVs);31936142;The provided data exclusively focuses on the role of Extracellular Vesicles (EVs) in the context of breast cancer diagnosis, monitoring tumor burden, and distinguishing between breast cancer subtypes (Her2+ and TNBC) in both human patients and murine models. There are no activity contexts related to exercise, athletic populations, training interventions, or recovery states within these findings.;The findings consistently show a significant increase in both total and small Extracellular Vesicles (EVs) in the sera of breast cancer patients compared to healthy controls. EV levels also demonstrated a moderate positive correlation with tumor burden in murine breast cancer models. While higher EV levels were reported in Her2+ compared to TNBC breast cancer patients, this difference was not statistically significant.;Based on the provided data, there are no direct implications for Extracellular Vesicles (EVs) in the context of exercise physiology, training load monitoring, recovery and adaptation, overtraining/underrecovery, metabolic flexibility, inflammation in athletes, performance diagnostics, muscle damage and repair, or cardiovascular and endocrine adaptation. The findings are solely focused on the diagnostic and prognostic utility of EVs in breast cancer. Therefore, this specific dataset does not inform training decisions or monitoring for athletes, as it lacks any athletic or exercise-related context.;1;7;;;;
miR-451a;31936142;The biomarker miR-451a was investigated in the context of breast cancer patient sera and breast cancer conditions, comparing levels to healthy individuals.;miR-451a levels, specifically copies per extracellular vesicle (EV), were found to be significantly increased or significantly greater in breast cancer patients compared to healthy individuals.;Based on the provided data, miR-451a is presented solely as a potential diagnostic biomarker for breast cancer. There is no information or evidence within the given findings to suggest its utility in monitoring exercise physiology, training load, recovery, adaptation, overtraining, metabolic flexibility, inflammation in athletes, performance diagnostics, muscle damage and repair, or cardiovascular and endocrine adaptation. Therefore, it has no direct or indirect implications for informing athletic training decisions, monitoring athletic stress, or evaluating performance and recovery in the context of sports science based on this data.;1;3;;;;
miRNA-101;31936142;The data pertains to studies on serum-derived extracellular vesicles (EVs) in breast cancer patients, comparing them to healthy controls. There is no information provided regarding athlete populations, specific training interventions, or various training states.;miRNA-101 levels were observed to be elevated in serum-derived extracellular vesicles of breast cancer patients compared to healthy controls.;The provided findings position miRNA-101 as a potential diagnostic biomarker for breast cancer in a general clinical population. There is no evidence or context provided that connects miRNA-101 to exercise physiology, training load monitoring, recovery, adaptation, overtraining, metabolic flexibility, inflammation, performance diagnostics, or muscle damage/repair in an athletic context. Therefore, based strictly on the given data, it does not inform training decisions, nor is it useful for monitoring adaptation, stress, performance, or recovery in athletes.;1;1;;;;
miRNA-372;31936142;The findings describe miRNA-372 levels in serum-derived extracellular vesicles (EVs) of breast cancer patients compared to healthy controls. This context is specific to a clinical population and not related to athletic populations, exercise interventions, or training states.;miRNA-372 is found to be elevated in the serum-derived EVs of breast cancer patients (n=50) when compared to healthy controls (n=12).;Based strictly on the provided findings, miRNA-372 is presented solely as a potential diagnostic biomarker for breast cancer. There is no information or context provided that links miRNA-372 to exercise physiology, training load monitoring, recovery, adaptation, overtraining, metabolic flexibility, inflammation in athletes, performance diagnostics, muscle damage/repair, or cardiovascular/endocrine adaptation in athletic populations. Therefore, this biomarker, in the context described, offers no sport-specific implications for informing training, monitoring adaptation, stress, performance, or recovery in athletes.;1;1;;;;
miR-105;31936142;The provided context describes the biomarker's activity in the context of metastatic progression in breast cancer patients, specifically comparing those who developed distant metastases to those who did not. There is no information relating to athletic populations, exercise interventions, or training states.;miR-105 was significantly elevated in breast cancer patients who developed distant metastases compared to those who did not.;Based on the provided data, miR-105 is indicated as a prognostic marker for metastatic progression in breast cancer. This information has no direct or indirect relevance for informing training decisions, monitoring adaptation, assessing training stress, diagnosing performance issues, or tracking recovery in athletes. It does not contribute to understanding muscle damage, metabolic flexibility, inflammation in athletes in an exercise context, or cardiovascular/endocrine adaptation to training.;1;1;;;;
miR-21;31936142;The provided data describes miR-21 levels observed in the plasma of breast cancer patients compared to healthy controls, not within an athletic population, specific training intervention, or distinct training state.;miR-21 levels were significantly elevated in breast cancer patients (n=16) compared to healthy controls (n=16).;Based on the provided data, miR-21's utility is described strictly as a diagnostic biomarker for breast cancer. There is no information or observed effect related to exercise physiology, training load monitoring, recovery, adaptation, overtraining, metabolic flexibility, inflammation in athletes, performance diagnostics, muscle damage/repair, or cardiovascular/endocrine adaptation in an athletic context. Therefore, this specific finding does not inform training decisions, or provide insights for monitoring adaptation, stress, performance, or recovery in athletes.;1;1;;;;
